lead_001,Mai Hong Ngoc,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_002,Bui Thi Phuong,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_006,Pham Quang Thang,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_007,Pham Duc Canh,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_008,Pham Thi Huong,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_009,Le Diem Quynh,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_010,Bui Thai Nhat,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
lead_012,Do Thanh The,1986-04-05,true,1039474819,thanhthe00@gmail.com,102 Ha Ke Tan
lead_013,Ta Thi Ha Ly,2002-12-20,false,0928147591,luckyluke@hmail.com,120 Nguyen Van Loc
lead_016,Bui Thi Hue,1960-03-10,false,0918271940,huebt3003@gmail.com,123 Hoang Mai
lead_017,Pham Thi Thanh Van,1972-02-04,true,0918474920,thinhhehe@outlook.com,100 Hoang Hoa Tham
lead_018,Nguyen Van A,2002-10-14,true,0123456789,anguyen@gmail,Ha Noi
lead_019,Mai Hong Hanh,1990-04-02,false,0918212332,hngoc1@gmail.com,34 Nguyen An Ninh
lead_020,Bui Thi Tuoi,1999-08-04,false,0903178741,phuongb1402@gmail.com,87 Ho Dac Di
lead_021,Pham Quang Lam,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Ha Ke Tan
lead_022,Pham Duc Thang,2004-04-08,true,0918929384,canh10@gmail.com,123 Truong Dinh
lead_023,Pham Thi Hue,1973-04-30,false,0948173829,huonhuon2904@mail.com,12 Hoang Mai
lead_024,Le Diem My,1980-08-04,false,0983748192,ltqueen20@gmail.com,76 Linh Nam
lead_025,Bui Thai Thinh,2000-03-30,true,1929038401,nhatbth11@gmail.com,34 Ly Thuong Kiet
lead_026,Do Thanh Thanh,1986-04-05,true,1039474819,thanhthe00@gmail.com,92 Chua Boc
lead_027,Ta Thi Ha Vy,2002-12-20,false,0928147591,luckyluke@hmail.com,12 Duong Lang
lead_028,Bui Thi Lan,1960-03-10,false,0918271940,huebt3003@gmail.com,83 Pham Ngoc Thach
lead_029,Pham Thi Thanh Phuong,1972-02-04,true,0918474920,thinhhehe@outlook.com,88 Hoang Hoa Tham
lead_030,Nguyen Van B,2002-10-14,true,0123456789,anguyen@gmail,Bac Ninh
lead_031,Mai Hong C,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_032,Bui Thi Ha,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_033,Pham Quang Canh,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_034,Pham Duc Thanh,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_036,Pham Thi Thao,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_035,Le Diem Thao,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_037,Bui Thai Quan,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
lead_038,Do Thanh Nam,1986-04-05,true,1039474819,thanhthe00@gmail.com,102 Ha Ke Tan
lead_039,Thai Thi Lan Khue,2002-12-20,false,0928147591,luckyluke@hmail.com,120 Nguyen Van Loc
lead_040,Bui Thi Thanh Huyen,1960-03-10,false,0918271940,huebt3003@gmail.com,123 Hoang Mai
lead_041,Pham Thi Thanh Nhung,1972-02-04,true,0918474920,thinhhehe@outlook.com,100 Hoang Hoa Tham
lead_042,Nguyen Van Nam,2002-10-14,true,0123456789,anguyen@gmail,Ha Noi
lead_043,Mai Hong Ly,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_045,Bui Thi Nhu Yen,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_044,Pham Quan Dong,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_046,Pham Hoang Minh,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_047,Pham Trong Hau,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_048,Le Diem Le,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_049,Bui Thai Hong,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
lead_050,Dao Thanh Trung ,1986-04-05,true,1039474819,thanhthe00@gmail.com,102 Ha Ke Tan
lead_051,Ta Thi Ha Chung,2002-12-20,false,0928147591,luckyluke@hmail.com,120 Nguyen Van Loc
lead_052,Pham Thi Thu Uyen,1960-03-10,false,0918271940,huebt3003@gmail.com,123 Hoang Mai
lead_053,Pham Thi Thanh Nhan,1972-02-04,true,0918474920,thinhhehe@outlook.com,100 Hoang Hoa Tham
lead_054,Tran Van A,2002-10-14,true,0123456789,anguyen@gmail,Ha Noi
lead_055,Mai Thac Ngoc,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_056,Bui Phuong Ly,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_057,Pham Quang Duc,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_058,Pham Minh Tuan,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_059,Pham Thi Nhu Ha,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_060,Le Diem Hanh,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_061,Bui Thai Minh Anh,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
lead_062,Do Van The,1986-04-05,true,1039474819,thanhthe00@gmail.com,102 Ha Ke Tan
lead_063,Ta Ngoc Lan,2002-12-20,false,0928147591,luckyluke@hmail.com,120 Nguyen Van Loc
lead_066,Le Thi Hue,1960-03-10,false,0918271940,huebt3003@gmail.com,123 Hoang Mai
lead_067,Pham Le Thanh Van,1972-02-04,true,0918474920,thinhhehe@outlook.com,100 Hoang Hoa Tham
lead_064,Ly Van A,2002-10-14,true,0123456789,anguyen@gmail,Ha Noi
lead_065,Mai Ngoc Truc Nhu,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_068,Bui Thi Hong,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_069,Pham Quang Lam,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_070,Pham Duc Thanh,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_071,Pham Thi Hong Nhung,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_072,Le Thi Quynh,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_073,Bui Nhat Quang,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
lead_074,Ho Dong Quan,1986-04-05,true,1039474819,thanhthe00@gmail.com,102 Ha Ke Tan
lead_075,Ha Ngoc Luu Ly,2002-12-20,false,0928147591,luckyluke@hmail.com,120 Nguyen Van Loc
lead_076,Truong Thi Quynh,1960-03-10,false,0918271940,huebt3003@gmail.com,123 Hoang Mai
lead_077,Hoang Thi Lanh,1972-02-04,true,0918474920,thinhhehe@outlook.com,100 Hoang Hoa Tham
lead_078,Doan Thanh Mai,2002-10-14,true,0123456789,anguyen@gmail,Ha Noi
lead_079,Doan Thanh Thao,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_080,Cao Minh Phuong,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_081,Le Trong Hau,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_082,Doan The Vinh,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_083,Pham Thi Nhu Ngoc,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_084,Le Diem My,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_085,Bui Thai Ha,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
lead_086,Do Thanh Anh,1986-04-05,true,1039474819,thanhthe00@gmail.com,102 Ha Ke Tan
lead_087,Ta Thi Hong Tham,2002-12-20,false,0928147591,luckyluke@hmail.com,120 Nguyen Van Loc
lead_088,Bui Le Quyen,1960-03-10,false,0918271940,huebt3003@gmail.com,123 Hoang Mai
lead_089,Pham Thi Thanh Huong,1972-02-04,true,0918474920,thinhhehe@outlook.com,100 Hoang Hoa Tham
lead_090,Nguyen Van A,2002-10-14,true,0123456789,anguyen@gmail,Ha Noi
lead_091,Mai Hong Phi,1990-04-02,false,0918212332,hngoc1@gmail.com,104 Nguyen Luong Bang
lead_092,Nguyen Ngoc,1999-08-04,false,0903178741,phuongb1402@gmail.com,702 Nguyen Van Linh
lead_093,Nguyen Phan Anh,1993-02-04,true,0918274910,qthang2012@outlook.com,56 Nguyen Huu Tho
lead_094,Do Huy Hoang,2004-04-08,true,0918929384,canh10@gmail.com,123 Nguyen Van Linh
lead_095,Mai Huy Hoang Nam,1973-04-30,false,0948173829,huonhuon2904@mail.com,729 Phuong Mai
lead_096,Ho Dang Quoc Trung,1980-08-04,false,0983748192,ltqueen20@gmail.com,107 Ton That Tung
lead_097,Nguyen Dinh Hoang,2000-03-30,true,1929038401,nhatbth11@gmail.com,107 Nguyen Xien
